# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volIntegrate(Ycharm)	volIntegrate(Yashm)	volIntegrate(Yhumm)	volIntegrate(Yrubberwoodm)
1.13              	5.9324986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.135             	5.9587486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.14              	5.9849986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.145             	6.0112486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.15              	6.0374986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.155             	6.0637486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.16              	6.0899986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.165             	6.1162486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.17              	6.1424986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.175             	6.1687486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.18              	6.1949986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.185             	6.2212486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.19              	6.2474986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.195             	6.2737486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.2               	6.2999986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.205             	6.3262486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.21              	6.3524986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.215             	6.3787486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.22              	6.4049986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.225             	6.4312486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.23              	6.4574986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.235             	6.4837486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.24              	6.5099986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.245             	6.5362486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.25              	6.5624986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.255             	6.5887486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.26              	6.6149986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.265             	6.6412486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.27              	6.6674986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.275             	6.6937486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.28              	6.7199986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.285             	6.7462486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.29              	6.7724986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.295             	6.7987486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.3               	6.8249986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.305             	6.8512486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.31              	6.8774986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.315             	6.9037486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.32              	6.9299986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.325             	6.9562486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.33              	6.9824986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.335             	7.0087486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.34              	7.0349986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.345             	7.0612486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.35              	7.0874986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.355             	7.1137486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.36              	7.1399986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.365             	7.1662486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.37              	7.1924986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.375             	7.2187486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.38              	7.2449986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.385             	7.2712486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.39              	7.2974986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.395             	7.3237486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.4               	7.3499986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.405             	7.3762486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
